parede_n,Amostra,Quadrante,Valor,D_m,Altura
1,1,1,0,0,1.30
1,1,1,33,10,1.30
1,1,1,81,15,1.30
1,1,1,98,20,1.30
1,1,1,183,25,1.30
1,1,1,212,30,1.30
1,1,1,470,35,1.30
1,2,2,0,0,1.30
1,2,2,38,10,1.30
1,2,2,98,15,1.30
1,2,2,211,20,1.30
1,2,2,305,25,1.30
1,2,2,400,30,1.30
1,2,2,685,35,1.30
1,3,3,0,0,1.10
1,3,3,30,10,1.10
1,3,3,44,15,1.10
1,3,3,83,20,1.10
1,3,3,117,25,1.10
1,3,3,150,30,1.10
1,3,3,228,35,1.10
1,4,4,0,0,1.10
1,4,4,43,10,1.10
1,4,4,77,15,1.10
1,4,4,115,20,1.10
1,4,4,138,25,1.10
1,4,4,313,30,1.10
1,4,4,398,35,1.10
1,5,5,0,0,0.90
1,5,5,35,10,0.90
1,5,5,65,15,0.90
1,5,5,120,20,0.90
1,5,5,173,25,0.90
1,5,5,358,30,0.90
1,5,5,676,35,0.90
1,6,6,0,0,0.90
1,6,6,49,10,0.90
1,6,6,66,15,0.90
1,6,6,101,20,0.90
1,6,6,185,25,0.90
1,6,6,246,30,0.90
1,6,6,344,35,0.90
1,7,7,0,0,0.70
1,7,7,58,10,0.70
1,7,7,94,15,0.70
1,7,7,129,20,0.70
1,7,7,162,25,0.70
1,7,7,190,30,0.70
1,7,7,225,35,0.70
1,8,8,0,0,0.70
1,8,8,43,10,0.70
1,8,8,100,15,0.70
1,8,8,133,20,0.70
1,8,8,159,25,0.70
1,8,8,164,30,0.70
1,8,8,210,35,0.70
1,9,9,0,0,0.50
1,9,9,45,10,0.50
1,9,9,69,15,0.50
1,9,9,98,20,0.50
1,9,9,173,25,0.50
1,9,9,207,30,0.50
1,9,9,237,35,0.50
1,10,10,0,0,0.50
1,10,10,36,10,0.50
1,10,10,77,15,0.50
1,10,10,109,20,0.50
1,10,10,206,25,0.50
1,10,10,335,30,0.50
1,10,10,344,35,0.50
1,11,11,0,0,0.30
1,11,11,29,10,0.30
1,11,11,67,15,0.30
1,11,11,96,20,0.30
1,11,11,133,25,0.30
1,11,11,157,30,0.30
1,11,11,175,35,0.30
1,12,12,0,0,0.30
1,12,12,28,10,0.30
1,12,12,58,15,0.30
1,12,12,80,20,0.30
1,12,12,110,25,0.30
1,12,12,160,30,0.30
1,12,12,220,35,0.30
1,13,1,0,0,1.30
1,13,1,32,10,1.30
1,13,1,93,15,1.30
1,13,1,98,20,1.30
1,13,1,183,25,1.30
1,13,1,211,30,1.30
1,13,1,413,35,1.30
1,14,2,0,0,1.30
1,14,2,36,10,1.30
1,14,2,67,15,1.30
1,14,2,148,20,1.30
1,14,2,267,25,1.30
1,14,2,363,30,1.30
1,14,2,400,35,1.30
1,15,3,0,0,1.10
1,15,3,33,10,1.10
1,15,3,46,15,1.10
1,15,3,84,20,1.10
1,15,3,115,25,1.10
1,15,3,146,30,1.10
1,15,3,270,35,1.10
1,16,4,0,0,1.10
1,16,4,41,10,1.10
1,16,4,67,15,1.10
1,16,4,101,20,1.10
1,16,4,149,25,1.10
1,16,4,161,30,1.10
1,16,4,203,35,1.10
1,17,5,0,0,0.90
1,17,5,36,10,0.90
1,17,5,68,15,0.90
1,17,5,121,20,0.90
1,17,5,195,25,0.90
1,17,5,347,30,0.90
1,17,5,643,35,0.90
1,18,6,0,0,0.90
1,18,6,38,10,0.90
1,18,6,66,15,0.90
1,18,6,100,20,0.90
1,18,6,160,25,0.90
1,18,6,207,30,0.90
1,18,6,322,35,0.90
1,19,7,0,0,0.70
1,19,7,54,10,0.70
1,19,7,86,15,0.70
1,19,7,129,20,0.70
1,19,7,178,25,0.70
1,19,7,196,30,0.70
1,19,7,219,35,0.70
1,20,8,0,0,0.70
1,20,8,50,10,0.70
1,20,8,80,15,0.70
